iter	Logloss
0	0.6352844225
1	0.5859976355
2	0.5458545563
3	0.5130206695
4	0.4851405099
5	0.4610928595
6	0.4405780102
7	0.4232849559
8	0.4075627623
9	0.3942066485
10	0.3827080969
11	0.3722967802
12	0.3633547124
13	0.3556183574
14	0.3485633391
15	0.3424418249
16	0.337382825
17	0.332382337
18	0.3277093548
19	0.3240403883
20	0.3205877798
21	0.3175453952
22	0.3146310955
23	0.3119380919
24	0.3094357895
25	0.3074233939
26	0.3056321846
27	0.3039669616
28	0.3022599555
29	0.3008734764
30	0.2994824272
31	0.2982785866
32	0.2973069275
33	0.2963633391
34	0.2953073174
35	0.2944139987
36	0.2935405931
37	0.2927877181
38	0.292255656
39	0.2916757279
40	0.2910252755
41	0.290457839
42	0.2900479266
43	0.2896275163
44	0.2891939161
45	0.288744385
46	0.288358088
47	0.2880463617
48	0.2877492402
49	0.2875072575
50	0.2872616776
51	0.286999984
52	0.286717145
53	0.2864431652
54	0.2862399178
55	0.2860052075
56	0.2858416117
57	0.2856728258
58	0.2854882512
59	0.285334835
60	0.2851734864
61	0.2850306489
62	0.2849034397
63	0.284763154
64	0.2846671386
65	0.2845574888
66	0.2844162285
67	0.2842859251
68	0.2841725858
69	0.2840607924
70	0.2839722151
71	0.283882661
72	0.283792634
73	0.2836895365
74	0.2836087583
75	0.2835319636
76	0.283436023
77	0.283363497
78	0.2832995366
79	0.2832174305
80	0.2831313657
81	0.2830644258
82	0.2829990667
83	0.2829373001
84	0.2828566823
85	0.2827990214
86	0.2827420467
87	0.2826747195
88	0.2825938241
89	0.2825337064
90	0.2824776357
91	0.2824178369
92	0.2823631284
93	0.2823041121
94	0.282244866
95	0.2821820974
96	0.2821314974
97	0.2820697032
98	0.2820270472
99	0.2819911854
100	0.2819456332
101	0.281908947
102	0.2818685121
103	0.2818200621
104	0.281775011
105	0.2817376974
106	0.2817026319
107	0.2816646903
108	0.2816421609
109	0.2816040571
110	0.2815699211
111	0.2815340878
112	0.2814955243
113	0.281456094
114	0.2814227364
115	0.2813866823
116	0.2813510517
117	0.2813170701
118	0.2812861714
119	0.2812485595
120	0.2812138465
121	0.2811878938
122	0.2811455802
123	0.281118698
124	0.2810902242
125	0.2810611997
126	0.2810247986
127	0.2809909182
128	0.2809600718
129	0.2809268852
130	0.2809060201
131	0.280872358
132	0.2808420264
133	0.2808165826
134	0.2807812289
135	0.2807497072
136	0.2807248943
137	0.2807023492
138	0.2806772679
139	0.2806516636
