iter	Passed	Remaining
0	24	20136
1	47	19424
2	69	18842
3	92	18746
4	114	18516
5	140	18849
6	162	18630
7	184	18540
8	206	18436
9	229	18375
10	251	18331
11	275	18350
12	298	18318
13	320	18243
14	341	18135
15	363	18060
16	386	18052
17	408	18020
18	431	18001
19	454	17981
20	476	17956
21	498	17903
22	520	17861
23	545	17895
24	568	17888
25	590	17843
26	610	17754
27	633	17740
28	655	17693
29	678	17675
30	699	17623
31	720	17566
32	743	17547
33	764	17500
34	786	17456
35	806	17383
36	826	17320
37	848	17273
38	871	17264
39	894	17267
40	916	17235
41	937	17195
42	961	17196
43	982	17151
44	1003	17106
45	1024	17055
46	1043	16989
47	1064	16946
48	1086	16922
49	1107	16871
50	1127	16830
51	1148	16791
52	1170	16757
53	1192	16739
54	1214	16721
55	1236	16689
56	1258	16666
57	1279	16637
58	1301	16609
59	1323	16585
60	1345	16566
61	1365	16520
62	1387	16491
63	1408	16456
64	1428	16422
65	1449	16382
66	1470	16350
67	1491	16316
68	1512	16286
69	1532	16249
70	1553	16217
71	1575	16192
72	1596	16160
73	1616	16118
74	1638	16099
75	1658	16060
76	1678	16025
77	1700	15997
78	1720	15960
79	1741	15934
80	1761	15900
81	1783	15874
82	1802	15835
83	1823	15805
84	1843	15770
85	1864	15740
86	1884	15706
87	1905	15679
88	1925	15642
89	1947	15620
90	1967	15591
91	1988	15563
92	2009	15536
93	2031	15515
94	2051	15482
95	2073	15464
96	2093	15428
97	2114	15405
98	2135	15382
99	2155	15350
100	2176	15318
101	2197	15292
102	2216	15257
103	2236	15226
104	2257	15201
105	2277	15172
106	2298	15144
107	2319	15122
108	2340	15097
109	2360	15066
110	2381	15040
111	2402	15014
112	2422	14983
113	2442	14957
114	2463	14931
115	2484	14908
116	2505	14883
117	2526	14856
118	2546	14828
119	2566	14800
120	2586	14771
121	2606	14742
122	2627	14718
123	2648	14693
124	2668	14664
125	2688	14636
126	2707	14604
127	2727	14577
128	2749	14556
129	2769	14527
130	2789	14502
131	2810	14478
132	2830	14450
133	2850	14422
134	2870	14396
135	2891	14370
136	2911	14343
137	2949	14405
138	2970	14381
139	2990	14352
140	3011	14330
141	3031	14304
142	3052	14282
143	3072	14253
144	3092	14226
145	3112	14199
146	3132	14170
147	3153	14146
148	3173	14120
149	3194	14097
150	3214	14070
151	3235	14049
152	3256	14024
153	3277	14002
154	3297	13975
155	3317	13950
156	3337	13923
157	3357	13898
158	3378	13874
159	3398	13848
160	3419	13827
161	3440	13805
162	3462	13787
163	3484	13766
164	3504	13743
165	3525	13718
166	3545	13693
167	3565	13666
168	3586	13644
169	3605	13617
170	3626	13595
171	3646	13570
172	3667	13546
173	3687	13521
174	3707	13496
175	3727	13471
176	3747	13445
177	3767	13419
178	3789	13399
179	3809	13375
180	3830	13353
181	3852	13334
182	3874	13317
183	3894	13291
184	3914	13267
185	3933	13236
186	3953	13214
187	3974	13193
188	3996	13173
189	4017	13151
190	4038	13129
191	4058	13104
192	4078	13080
193	4098	13056
194	4119	13034
195	4139	13009
196	4158	12982
197	4178	12958
198	4200	12937
199	4220	12915
200	4240	12889
201	4260	12865
202	4280	12842
203	4300	12818
204	4320	12793
205	4341	12770
206	4361	12747
207	4381	12724
208	4401	12700
209	4423	12679
210	4444	12658
211	4464	12635
212	4484	12610
213	4503	12585
214	4524	12562
215	4543	12537
216	4564	12514
217	4584	12491
218	4604	12467
219	4627	12451
220	4647	12429
221	4668	12406
222	4688	12382
223	4708	12359
224	4727	12333
225	4748	12312
226	4767	12287
227	4789	12267
228	4809	12244
229	4831	12226
230	4852	12203
231	4871	12179
232	4892	12157
233	4912	12133
234	4933	12113
235	4954	12092
236	4974	12069
237	4995	12047
238	5015	12025
239	5034	11999
240	5054	11976
241	5074	11953
242	5094	11929
243	5115	11907
244	5136	11887
245	5156	11863
246	5174	11837
247	5193	11812
248	5214	11789
249	5233	11765
250	5254	11744
251	5276	11725
252	5297	11705
253	5319	11685
254	5341	11666
255	5361	11643
256	5381	11621
257	5400	11597
258	5419	11571
259	5440	11550
260	5459	11525
261	5478	11500
262	5498	11477
263	5518	11454
264	5537	11429
265	5557	11408
266	5577	11384
267	5596	11360
268	5616	11337
269	5636	11314
270	5656	11292
271	5676	11269
272	5696	11246
273	5716	11224
274	5737	11203
275	5757	11181
276	5777	11157
277	5798	11137
278	5821	11120
279	5843	11103
280	5865	11083
281	5886	11062
282	5906	11041
283	5927	11019
284	5946	10996
285	5966	10973
286	5987	10952
287	6007	10930
288	6027	10907
289	6048	10887
290	6068	10865
291	6088	10841
292	6107	10818
293	6127	10796
294	6146	10772
295	6167	10751
296	6188	10730
297	6209	10709
298	6228	10686
299	6249	10665
300	6269	10643
301	6290	10622
302	6311	10602
303	6331	10579
304	6353	10561
305	6376	10543
306	6398	10524
307	6419	10504
308	6438	10481
309	6458	10459
310	6478	10436
311	6499	10415
312	6518	10392
313	6538	10369
314	6560	10350
315	6580	10328
316	6599	10305
317	6619	10283
318	6639	10261
319	6659	10239
320	6679	10217
321	6701	10198
322	6721	10175
323	6741	10153
324	6760	10130
325	6780	10108
326	6800	10086
327	6820	10064
328	6839	10041
329	6859	10018
330	6879	9997
331	6899	9974
332	6921	9956
333	6942	9935
334	6963	9915
335	6983	9892
336	7002	9870
337	7022	9847
338	7041	9825
339	7061	9803
340	7082	9782
341	7102	9760
342	7122	9738
343	7144	9719
344	7163	9696
345	7184	9676
346	7205	9655
347	7225	9634
348	7247	9615
349	7267	9593
350	7287	9570
351	7308	9551
352	7330	9532
353	7351	9510
354	7370	9488
355	7390	9466
356	7411	9446
357	7430	9423
358	7450	9400
359	7469	9378
360	7489	9356
361	7508	9334
362	7529	9312
363	7550	9293
364	7571	9272
365	7590	9249
366	7610	9227
367	7630	9205
368	7648	9182
369	7668	9160
370	7687	9138
371	7707	9115
372	7727	9095
373	7748	9074
374	7768	9052
375	7787	9030
376	7808	9009
377	7828	8988
378	7848	8966
379	7869	8945
380	7891	8926
381	7910	8904
382	7933	8885
383	7953	8864
384	7973	8843
385	7995	8823
386	8014	8801
387	8035	8780
388	8056	8760
389	8076	8739
390	8097	8718
391	8116	8696
392	8136	8675
393	8159	8656
394	8180	8635
395	8198	8612
396	8219	8592
397	8239	8570
398	8260	8550
399	8282	8530
400	8301	8508
401	8320	8485
402	8341	8465
403	8362	8445
404	8381	8423
405	8401	8401
406	8421	8380
407	8445	8362
408	8466	8341
409	8485	8319
410	8507	8300
411	8527	8278
412	8546	8256
413	8568	8236
414	8589	8217
415	8611	8197
416	8632	8177
417	8654	8157
418	8675	8137
419	8696	8116
420	8717	8096
421	8737	8074
422	8757	8053
423	8779	8033
424	8800	8013
425	8820	7992
426	8860	7989
427	8880	7967
428	8903	7948
429	8921	7925
430	8940	7903
431	8961	7882
432	8981	7861
433	9001	7840
434	9023	7820
435	9041	7797
436	9061	7775
437	9083	7755
438	9103	7735
439	9122	7712
440	9142	7691
441	9163	7670
442	9182	7648
443	9201	7626
444	9221	7605
